Finalidad,Finalidad_imagen,Cod. y Desc. Funcion,Cod. y Desc. Funcion_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,9,"947,32072921","1114,245","1114,245","927,63155568","892,28891695","795,19541307",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,10,"947,32072921","1114,245","1134,245","1024,65282444","1021,70743139","898,92229037",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,11,"947,32072921","1114,245","1306,774","1129,57818179","1126,93719992","1019,93024442",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,1,"489,93576786","698,031697","698,031697","119,01352535","35,93268146","21,34057471",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,2,"489,93576786","698,031697","698,031697","132,62601859","74,35263061","58,56417542",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,3,"489,93576786","698,031697","698,967097","367,66406072","111,22916289","97,90663018",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,4,"489,93576786","698,031697","698,967097","371,55873247","146,45015845","133,60093397",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,5,"489,93576786","698,031697","698,967097","374,21334361","184,33092334","172,43692702",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,6,"489,93576786","698,031697","698,967097","480,58030888","242,7703887","210,56060011",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,8 - Información y Estadística Básicas,paraque/informacion_y_estadistica_basicas.svg,7,"489,93576786","698,031697","698,967097","484,87825783","285,59190987","272,76304581",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
