Cod. y Desc. Inciso,Cod. y Desc. Inciso_imagen,Cod. y Desc. Principal,Cod. y Desc. Principal_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,10,"101,02321171","42,814755","71,177405","54,61994503","52,15124648","48,6076197",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,11,"101,02321171","42,814755","68,224877","62,68246429","60,49115688","54,5332608",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,1,"2875,59361655","3520,929323","3517,950323","343,32977809","191,53321998","52,52953564",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,2,"2875,59361655","3520,929323","3522,336195","590,48299033","448,51471861","217,61424492",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,3,"2875,59361655","3520,929323","3530,397688","1370,08935484","672,23778803","489,7911258",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,4,"2875,59361655","3520,929323","3595,378041","1542,79303158","845,44844356","712,44384863",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,5,"2875,59361655","3520,929323","3600,531741","1661,21275295","1080,46085146","892,61668831",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,6,"2875,59361655","3520,929323","3609,247352","1878,13650087","1360,84715937","1145,92879664",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,7,"2875,59361655","3520,929323","3699,459698","2148,18151864","1705,65127126","1524,99392102",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,8,"2875,59361655","3520,929323","3693,416506","2383,05789944","1936,76409714","1759,27688758",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,9,"2875,59361655","3520,929323","3732,901027","2704,53842781","2377,97993235","2031,12767685",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,10,"2875,59361655","3520,929323","3748,861067","2931,90575353","2745,62976792","2411,8758654",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,5 - Asistencia Social al Personal,que/asistencia_social_al_personal.svg,11,"2875,59361655","3520,929323","4173,208821","3441,36180411","3251,0325045","2802,06191796",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,1,"399,5663814","477,251609","475,251609","21,71645136","17,77823038","2,20071816",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,2,"399,5663814","477,251609","474,349933","46,76642985","43,1837329","22,57084773",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,3,"399,5663814","477,251609","497,379933","70,94152958","64,31105867","48,50185282",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,4,"399,5663814","477,251609","587,379933","89,14090514","83,48397523","71,52247377",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,5,"399,5663814","477,251609","587,379933","106,01153962","101,10826501","88,0277046",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,6,"399,5663814","477,251609","585,020933","133,25898562","128,32075055","105,83438363",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,7,"399,5663814","477,251609","585,44499","156,05313981","151,56518347","134,01150217",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,8,"399,5663814","477,251609","585,511613","175,57022766","171,18250211","156,87005302",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,9,"399,5663814","477,251609","595,80661","201,74352823","198,50003505","178,45176851",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,10,"399,5663814","477,251609","593,97161","228,21452085","225,98960886","212,61277407",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,6 - Beneficios y Compensaciones,que/beneficios_y_compensaciones.svg,11,"399,5663814","477,251609","604,766305","252,42151878","250,64953397","231,49099905",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,1,"214,38862401","284,897301","284,897301","51,9526359","18,03967832","9,6542987",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,2,"214,38862401","284,897301","284,897301","81,00492993","35,8945359","29,62603776",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,3,"214,38862401","284,897301","280,591301","160,57225867","53,11029485","46,46332464",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,4,"214,38862401","284,897301","280,591301","168,90210769","71,02657289","63,57297296",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,5,"214,38862401","284,897301","280,794665","177,16601417","88,74832296","82,09580198",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,6,"214,38862401","284,897301","285,470277","197,91774311","116,54745083","102,7041262",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,7,"214,38862401","284,897301","286,770277","203,10902216","134,24560227","128,16558951",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,8,"214,38862401","284,897301","287,77073","222,6372362","163,18248785","153,07475683",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,9,"214,38862401","284,897301","290,496135","243,16862311","198,90557966","187,05576223",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,10,"214,38862401","284,897301","288,468868","258,71761668","235,92419352","221,50508468",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,7 - Gabinete de autoridades superiores,que/gabinete_de_autoridades_superiores.svg,11,"214,38862401","284,897301","320,366206","279,98455207","269,50698197","258,22114494",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,1,"12330,04481049","12932,040838","12932,040838","3342,81233945","1109,95483164","384,63524486",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,2,"12330,04481049","12932,040838","13229,935683","4500,38797851","2356,38105985","1568,27574144",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,8 - Personal contratado,que/personal_contratado.svg,3,"12330,04481049","12932,040838","13241,635683","7804,62176675","3596,9294953","2783,22015467",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
